Substance,Temperature,assays,Ionic Strength (M),S0 (mM),SD of S0 (mM),Kinetic Solubility (mM),SD of Kinetic Solubility (mM),,,SMILES,InChI,
 quinine,24.98,2,0.164556,1635.1,36.3736,1446,85.92,,,[H]C1(CN2CCC1C[C@@]2([H])[C@H](O)C1=CC=NC2=C1C=C(OC)C=C2)C=C,"InChI=1/C20H24N2O2/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3/t13-,14-,19-,20+/m1/s1",
 ranitidine,24.99,2,0.218043,3156.04,502.563,52200,0,,,S(Cc1oc(CN(C)C)cc1)CCN\C(NC)=C\N(=O)=O,"InChI=1/C13H22N4O3S/c1-14-13(9-17(18)19)15-6-7-21-10-12-5-4-11(20-12)8-16(2)3/h4-5,9,14-15H,6-8,10H2,1-3H3/b13-9+",
 sarafloxacin,24.84,2,0.182198,735.587,59.0626,2051,208.2,,,C1CN(CCN1)c1c(cc2c(n(cc(C(=O)O)c2=O)c2ccc(cc2)F)c1)F,"InChI=1/C20H17F2N3O3/c21-12-1-3-13(4-2-12)25-11-15(20(27)28)19(26)14-9-16(22)18(10-17(14)25)24-7-5-23-6-8-24/h1-4,9-11,23H,5-8H2,(H,27,28)",
 sertraline,24.94,,Co-solvent technique used. The resulting S0 at 0% MeOH is 14.8 mM (Plot shown below),,,,,,,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc12,"InChI=1/C17H17Cl2N/c1-20-17-9-7-12(13-4-2-3-5-14(13)17)11-6-8-15(18)16(19)10-11/h2-6,8,10,12,17,20H,7,9H2,1H3/t12-,17-/m1/s1",
 sparfloxacin,25.11,3,0.185745,425.472,34.7113,14199,1726,,,C[C@H]1CN(C[C@@H](C)N1)C1=C(F)C2=C(C(=O)C(=CN2C2CC2)C(O)=O)C(N)=C1F,"InChI=1/C19H22F2N4O3/c1-8-5-24(6-9(2)23-8)17-13(20)15(22)12-16(14(17)21)25(10-3-4-10)7-11(18(12)26)19(27)28/h7-10,23H,3-6,22H2,1-2H3,(H,27,28)/t8-,9+",
 sulfacetamide,25.02,8,0.210577,30204,240.063,46582,6670,,,C(=O)(NS(=O)(c1ccc(cc1)N)=O)C,"InChI=1/C8H12N2O3Rn/c1-6(11)10-14(12,13)8-4-2-7(9)3-5-8/h2-5,12-13H,9H2,1H3,(H,10,11)",
 sulfamethazine,25.15,5,0.166127,1851.55,23.1153,23727,10516,,,S(=O)(=O)(Nc1nc(C)cc(n1)C)c1ccc(N)cc1,"InChI=1/C12H14N4O2S/c1-8-7-9(2)15-12(14-8)16-19(17,18)11-5-3-10(13)4-6-11/h3-7H,13H2,1-2H3,(H,14,15,16)",
 sulfasalazine,24.69,8,0.162673,0.726312,0.0419115,34.22,2.35,,,C(=O)(O)c1cc(ccc1O)\N=N\c1ccc(cc1)S(=O)(Nc1ccccn1)=O,"InChI=1/C18H16N4O5Rn/c23-16-9-6-13(11-15(16)18(24)25)21-20-12-4-7-14(8-5-12)28(26,27)22-17-3-1-2-10-19-17/h1-11,23,26-27H,(H,19,22)(H,24,25)/b21-20+",
 sulfathiazole,25.59,2,0.198869,2045.72,176.579,2400,477.3,,,Nc1ccc(cc1)S(=O)(Nc1nccs1)=O,"InChI=1/C9H11N3O2RnS/c10-7-1-3-8(4-2-7)15(13,14)12-9-11-5-6-16-9/h1-6,13-14H,10H2,(H,11,12)",
 sulindac_form_I,24.84,20,0.160486,210.015,23.1367,231.5,26.48,,,CC1=C(CC(O)=O)c2cc(F)ccc2C\1=C\c1ccc(cc1)S(C)=O,"InChI=1/C20H17FO3S/c1-12-17(9-13-3-6-15(7-4-13)25(2)24)16-8-5-14(21)10-19(16)18(12)11-20(22)23/h3-10H,11H2,1-2H3,(H,22,23)/b17-9-/t25-/m1/s1",
 sulindac_form_II,24.83,19,0.15972,31.9025,4.12412,234.7,29.93,,,CC1=C(CC(O)=O)c2cc(F)ccc2C\1=C\c1ccc(cc1)S(C)=O,"InChI=1/C20H17FO3S/c1-12-17(9-13-3-6-15(7-4-13)25(2)24)16-8-5-14(21)10-19(16)18(12)11-20(22)23/h3-10H,11H2,1-2H3,(H,22,23)/b17-9-/t25-/m1/s1",
 tetracaine,25.93,2,0.158034,975.128,21.571,1071,24.36,,,C(c1ccc(cc1)NCCCC)(=O)OCCN(C)C,"InChI=1/C15H24N2O2/c1-4-5-10-16-14-8-6-13(7-9-14)15(18)19-12-11-17(2)3/h6-9,16H,4-5,10-12H2,1-3H3",
 tetracycline,25.08,8,0.188221,1185.68,190.247,25389,7714,,,OC1=C(C(C2=C(O)[C@@](C(C(C(N)=O)=C(O)[C@H]3N(C)C)=O)(O)[C@@]3([H])C[C@]2([H])[C@@]4(O)C)=O)C4=CC=C1,"InChI=1/C22H24N2O8/c1-21(31)8-5-4-6-11(25)12(8)16(26)13-9(21)7-10-15(24(2)3)17(27)14(20(23)30)19(29)22(10,32)18(13)28/h4-6,9-10,15,25-26,30-32H,7,23H2,1-3H3/b20-14-/t9-,10-,15-,21+,22-/m0/s1",
 thymol,24.98,3,0.173398,6520.2,38.3495,9000,141,,,c1(cc(ccc1C(C)C)C)O,"InChI=1/C10H14O/c1-7(2)9-5-4-8(3)6-10(9)11/h4-7,11H,1-3H3",
 tolmetin,24.97,12,0.158806,80.9303,4.00252,395.3,94.64,,,Cc1ccc(cc1)C(=O)c1ccc(CC(=O)O)n1C,"InChI=1/C15H15NO3/c1-10-3-5-11(6-4-10)15(19)13-8-7-12(16(13)2)9-14(17)18/h3-8H,9H2,1-2H3,(H,17,18)",
 trichloromethiazide_form_I,25.66,3,0.163679,660.645,17.5235,4530,2054,,,NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C(Cl)Cl)cc1Cl,"InChI=1/C8H12Cl3N3O4Rn2/c9-3-1-4-6(2-5(3)19(12,15)16)20(17,18)14-8(13-4)7(10)11/h1-2,7-8,13-18H,12H2/t8-/m0/s1",
 trichloromethiazide_form_II,25.67,3,0.16193,295.843,0,4530,2054,,,NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C(Cl)Cl)cc1Cl,"InChI=1/C8H12Cl3N3O4Rn2/c9-3-1-4-6(2-5(3)19(12,15)16)20(17,18)14-8(13-4)7(10)11/h1-2,7-8,13-18H,12H2/t8-/m0/s1",
 trimethoprim,25.02,6,0.162422,1119.25,96.4116,5841,2175,,,c1(nc(c(cn1)Cc1cc(c(c(OC)c1)OC)OC)N)N,"InChI=1/C14H18N4O3/c1-19-10-5-8(6-11(20-2)12(10)21-3)4-9-7-17-14(16)18-13(9)15/h5-7H,4H2,1-3H3,(H4,15,16,17,18)",
 trimipramine,25.14,3,0.163942,16.2552,2.99725,17.3,2.136,,,CC(CN(C)C)CN1c2ccccc2CCc2ccccc12,"InChI=1/C20H26N2/c1-16(14-21(2)3)15-22-19-10-6-4-8-17(19)12-13-18-9-5-7-11-20(18)22/h4-11,16H,12-15H2,1-3H3/t16-/m1/s1",
 tryptamine,25.42,3,0.241194,506.279,134.019,20650,6415,,,NCCc1c[nH]c2ccccc12,"InChI=1/C10H12N2/c11-6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5-6,11H2",
 verapamil,24.94,3,0.153418,105.743,3.7533,104.7,3.115,,,COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,"InChI=1/C27H38N2O4/c1-20(2)27(19-28,22-10-12-24(31-5)26(18-22)33-7)14-8-15-29(3)16-13-21-9-11-23(30-4)25(17-21)32-6/h9-12,17-18,20H,8,13-16H2,1-7H3/t27-/m1/s1",
 warfarin,25.04,5,0.155605,16.455,0.293028,407.9,19.1,,,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,"InChI=1/C19H16O4/c1-12(20)11-15(13-7-3-2-4-8-13)17-18(21)14-9-5-6-10-16(14)23-19(17)22/h2-10,15,21H,11H2,1H3/t15-/m0/s1",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
