"protein_class_id","parent_id","pref_name","short_name","protein_class_desc","definition","class_level"
182,1186,"Cytochrome P450 3A1","CYP_3A1","enzyme  cytochrome p450  cyp_3  cyp_3a  cyp_3a1",,5
183,1186,"Cytochrome P450 3A2","CYP_3A2","enzyme  cytochrome p450  cyp_3  cyp_3a  cyp_3a2",,5
184,1186,"Cytochrome P450 3A4","CYP_3A4","enzyme  cytochrome p450  cyp_3  cyp_3a  cyp_3a4",,5
185,1186,"Cytochrome P450 3A5","CYP_3A5","enzyme  cytochrome p450  cyp_3  cyp_3a  cyp_3a5",,5
186,1187,"Cytochrome P450 4A1","CYP_4A1","enzyme  cytochrome p450  cyp_4  cyp_4a  cyp_4a1",,5
187,1187,"Cytochrome P450 4A3","CYP_4A3","enzyme  cytochrome p450  cyp_4  cyp_4a  cyp_4a3",,5
188,1187,"Cytochrome P450 4A4","CYP_4A4","enzyme  cytochrome p450  cyp_4  cyp_4a  cyp_4a4",,5
189,1188,"Cytochrome P450 4F2","CYP_4F2","enzyme  cytochrome p450  cyp_4  cyp_4f  cyp_4f2",,5
190,1189,"Cytochrome P450 5A1","CYP_5A1","enzyme  cytochrome p450  cyp_5  cyp_5a  cyp_5a1","An enzyme found predominantly in platelet microsomes. It catalyzes the conversion of PGG(2) and PGH(2) (prostaglandin endoperoxides) to thromboxane A2. EC 5.3.99.5. [MESH:D013930]",5
191,1190,"Cytochrome P450 7A1","CYP_7A1","enzyme  cytochrome p450  cyp_7  cyp_7a  cyp_7a1","A membrane-bound cytochrome P450 enzyme that catalyzes the 7-alpha-hydroxylation of CHOLESTEROL in the presence of molecular oxygen and NADPH-FERRIHEMOPROTEIN REDUCTASE. This enzyme, encoded by CYP7, converts cholesterol to 7-alpha-hydroxycholesterol which is the first and rate-limiting step in the synthesis of BILE ACIDS. [MESH:D002790]",5
192,1191,"Cytochrome P450 8A1","CYP_8A1","enzyme  cytochrome p450  cyp_8  cyp_8a  cyp_8a1",,5
195,1183,"Cytochrome P450 2C11","CYP_2C11","enzyme  cytochrome p450  cyp_2  cyp_2c  cyp_2c11",,5
196,1183,"Cytochrome P450 2C18","CYP_2C18","enzyme  cytochrome p450  cyp_2  cyp_2c  cyp_2c18",,5
197,1183,"Cytochrome P450 2C19","CYP_2C19","enzyme  cytochrome p450  cyp_2  cyp_2c  cyp_2c19",,5
198,1183,"Cytochrome P450 2C23","CYP_2C23","enzyme  cytochrome p450  cyp_2  cyp_2c  cyp_2c23",,5
199,1184,"Cytochrome P450 2D18","CYP_2D18","enzyme  cytochrome p450  cyp_2  cyp_2d  cyp_2d18",,5
200,1187,"Cytochrome P450 4A11","CYP_4A11","enzyme  cytochrome p450  cyp_4  cyp_4a  cyp_4a11",,5
202,1256,"Calcitonin receptor","Calcitonin receptor","membrane receptor  7tm2  peptide  calcitonin-like  calcitonin receptor","Cell surface proteins that bind calcitonin and trigger intracellular changes which influence the behavior of cells. Calcitonin receptors outside the nervous system mediate the role of calcitonin in calcium homeostasis. The role of calcitonin receptors in the brain is not well understood. [MESH:D018003]",5
203,1289,"AGC protein kinase AKT family","Akt","enzyme  kinase  protein kinase  agc  akt",,5
204,1289,"AGC protein kinase NDR family","Ndr","enzyme  kinase  protein kinase  agc  ndr",,5
205,1289,"AGC protein kinase PKA family","Pka","enzyme  kinase  protein kinase  agc  pka","A group of enzymes that are dependent on CYCLIC AMP and catalyze the phosphorylation of SERINE or THREONINE residues on proteins. Included under this category are two cyclic-AMP-dependent protein kinase subtypes, each of which is defined by its subunit composition. [MESH:D017868]",5
206,1289,"AGC protein kinase PKC family","Pkc","enzyme  kinase  protein kinase  agc  pkc","An serine-threonine protein kinase that requires the presence of physiological concentrations of CALCIUM and membrane PHOSPHOLIPIDS. The additional presence of DIACYLGLYCEROLS markedly increases its sensitivity to both calcium and phospholipids. The sensitivity of the enzyme can also be increased by PHORBOL ESTERS and it is believed that protein kinase C is the receptor protein of tumor-promoting phorbol esters. [MESH:D011493]",5
207,1289,"AGC protein kinase PKG family","Pkg","enzyme  kinase  protein kinase  agc  pkg","A group of enzymes that are dependent on cyclic GMP and catalyzes the phosphorylation of serine or threonine residues of proteins. [MESH:D017869]",5
208,1289,"AGC protein kinase PKN family","Pkn","enzyme  kinase  protein kinase  agc  pkn",,5
209,1289,"AGC protein kinase SGK family","Sgk","enzyme  kinase  protein kinase  agc  sgk",,5
210,1301,"CK1 protein kinase CK1 family","Ck1","enzyme  kinase  protein kinase  ck1  ck1","A casein kinase that was originally described as a monomeric enzyme with a molecular weight of 30-40 kDa. Several ISOENZYMES of casein kinase I have been found which are encoded by separate genes. Many of the casein kinase I isoenzymes have been shown to play distinctive roles in intracellular SIGNAL TRANSDUCTION. [MESH:D047389]",5
211,148,"CMGC protein kinase CK subfamily","Ck","enzyme  kinase  protein kinase  cmgc  ck",,5
219,141,"Tyrosine protein kinase Srm","Srm","enzyme  kinase  protein kinase  tk  src  srm",,6
222,1103,"Serine/threonine protein phosphatase","Ser_Thr","enzyme  phosphatase  protein phosphatase  ser_thr","A group of enzymes removing the SERINE- or THREONINE-bound phosphate groups from a wide range of phosphoproteins, including a number of enzymes which have been phosphorylated under the action of a kinase. (Enzyme Nomenclature, 1992) [MESH:D010749]",4
223,1218,"Cytochrome P450 11A1","CYP_11A1","enzyme  cytochrome p450  cyp_11  cyp_11a  cyp_11a1","A mitochondrial cytochrome P450 enzyme that catalyzes the side-chain cleavage of C27 cholesterol to C21 pregnenolone in the presence of molecular oxygen and NADPH-FERRIHEMOPROTEIN REDUCTASE. This enzyme, encoded by CYP11A1 gene, catalyzes the breakage between C20 and C22 which is the initial and rate-limiting step in the biosynthesis of various gonadal and adrenal steroid hormones. [MESH:D002786]",5
224,1219,"Cytochrome P450 11B1","CYP_11B1","enzyme  cytochrome p450  cyp_11  cyp_11b  cyp_11b1","A mitochondrial cytochrome P450 enzyme that catalyzes the 11-beta-hydroxylation of steroids in the presence of molecular oxygen and NADPH-FERRIHEMOPROTEIN REDUCTASE. This enzyme, encoded by CYP11B1 gene, is important in the synthesis of CORTICOSTERONE and HYDROCORTISONE. Defects in CYP11B1 cause congenital adrenal hyperplasia (ADRENAL HYPERPLASIA, CONGENITAL). [MESH:D013252]",5
225,1219,"Cytochrome P450 11B2","CYP_11B2","enzyme  cytochrome p450  cyp_11  cyp_11b  cyp_11b2","A mitochondrial cytochrome P450 enzyme that catalyzes the 18-hydroxylation of steroids in the presence of molecular oxygen and NADPH-specific flavoprotein. This enzyme, encoded by CYP11B2 gene, is important in the conversion of CORTICOSTERONE to 18-hydroxycorticosterone and the subsequent conversion to ALDOSTERONE. [MESH:D019405]",5
226,1220,"Cytochrome P450 17A1","CYP_17A1","enzyme  cytochrome p450  cyp_17  cyp_17a  cyp_17a1","A microsomal cytochrome P450 enzyme that catalyzes the 17-alpha-hydroxylation of progesterone or pregnenolone and subsequent cleavage of the residual two carbons at C17 in the presence of molecular oxygen and NADPH-FERRIHEMOPROTEIN REDUCTASE. This enzyme, encoded by CYP17 gene, generates precursors for glucocorticoid, androgen, and estrogen synthesis. Defects in CYP17 gene cause congenital adrenal hyperplasia (ADRENAL HYPERPLASIA, CONGENITAL) and abnormal sexual differentiation. [MESH:D013254]",5
227,1221,"Cytochrome P450 19A1","CYP_19A1","enzyme  cytochrome p450  cyp_19  cyp_19a  cyp_19a1","An enzyme that catalyzes the desaturation (aromatization) of the ring A of C19 androgens and converts them to C18 estrogens. In this process, the 19-methyl is removed. This enzyme is membrane-bound, located in the endoplasmic reticulum of estrogen-producing cells of ovaries, placenta, testes, adipose, and brain tissues. Aromatase is encoded by the CYP19 gene, and functions in complex with NADPH-FERRIHEMOPROTEIN REDUCTASE in the cytochrome P-450 system. [MESH:D001141]",5
228,1222,"Cytochrome P450 21A2","CYP_21A2","enzyme  cytochrome p450  cyp_21  cyp_21a  cyp_21a2","An adrenal microsomal cytochrome P450 enzyme that catalyzes the 21-hydroxylation of steroids in the presence of molecular oxygen and NADPH-FERRIHEMOPROTEIN REDUCTASE. This enzyme, encoded by CYP21 gene, converts progesterones to precursors of adrenal steroid hormones (CORTICOSTERONE; HYDROCORTISONE). Defects in CYP21 cause congenital adrenal hyperplasia (ADRENAL HYPERPLASIA, CONGENITAL). [MESH:D013255]",5
229,1223,"Cytochrome P450 24A1","CYP_24A1","enzyme  cytochrome p450  cyp_24  cyp_24a  cyp_24a1",,5
230,1224,"Cytochrome P450 26A1","CYP_26A1","enzyme  cytochrome p450  cyp_26  cyp_26a  cyp_26a1",,5
231,1225,"Cytochrome P450 51A1","CYP_51A1","enzyme  cytochrome p450  cyp_51  cyp_51a  cyp_51a1",,5
232,1289,"AGC protein kinase PDK1 subfamily","Pdk1","enzyme  kinase  protein kinase  agc  pdk1",,5
233,1289,"AGC protein kinase YANK family","Yank","enzyme  kinase  protein kinase  agc  yank",,5
234,1339,"CAMK protein kinase PHk family","Phk","enzyme  kinase  protein kinase  camk  phk","An enzyme that catalyzes the conversion of ATP and PHOSPHORYLASE B to ADP and PHOSPHORYLASE A. [MESH:D010764]",5
235,1339,"CAMK protein kinase PIM family","Pim","enzyme  kinase  protein kinase  camk  pim",,5
236,1339,"CAMK protein kinase PKD family","Pkd","enzyme  kinase  protein kinase  camk  pkd",,5
237,148,"CMGC protein kinase CDK family","Cdk","enzyme  kinase  protein kinase  cmgc  cdk","Protein kinases that control cell cycle progression in all eukaryotes and require physical association with CYCLINS to achieve full enzymatic activity. Cyclin-dependent kinases are regulated by phosphorylation and dephosphorylation events. [MESH:D018844]",5
239,148,"CMGC protein kinase GSK family","Gsk","enzyme  kinase  protein kinase  cmgc  gsk","A class of protein-serine-threonine kinases that was originally found as one of the three types of kinases that phosphorylate GLYCOGEN SYNTHASE. Glycogen synthase kinases along with CA(2+)-CALMODULIN DEPENDENT PROTEIN KINASES and CYCLIC AMP-DEPENDENT PROTEIN KINASES regulate glycogen synthase activity. [MESH:D038341]",5
240,1334,"TKL protein kinase LRRK family","Lrrk","enzyme  kinase  protein kinase  tkl  lrrk",,5
241,1334,"TKL protein kinase RIPK family","Ripk","enzyme  kinase  protein kinase  tkl  ripk","A family of serine-threonine kinases that plays a role in intracellular signal transduction by interacting with a variety of signaling adaptor proteins such as CRADD SIGNALING ADAPTOR PROTEIN; TNF RECEPTOR-ASSOCIATED FACTOR 2; and TNF RECEPTOR-ASSOCIATED DEATH DOMAIN PROTEIN. Although they were initially described as death domain-binding adaptor proteins, members of this family may contain other protein-binding domains such as those involving caspase activation and recruitment. [MESH:D053422]",5
242,141,"Tyrosine protein kinase SrcA","SrcA","enzyme  kinase  protein kinase  tk  src  srca",,6
243,1024,"Epithelial sodium channel","ENaC","ion channel  lgic  enac",,3
245,1339,"CAMK protein kinase DAPK family","Dapk","enzyme  kinase  protein kinase  camk  dapk",,5
246,1339,"CAMK protein kinase MLCK family","Mlck","enzyme  kinase  protein kinase  camk  mlck","An enzyme that phosphorylates myosin light chains in the presence of ATP to yield myosin-light chain phosphate and ADP, and requires calcium and CALMODULIN. The 20-kDa light chain is phosphorylated more rapidly than any other acceptor, but light chains from other myosins and myosin itself can act as acceptors. The enzyme plays a central role in the regulation of smooth muscle contraction. [MESH:D009219]",5
247,1339,"CAMK protein kinase TSSK family","Tssk","enzyme  kinase  protein kinase  camk  tssk",,5
248,148,"CMGC protein kinase CDKL family","Cdkl","enzyme  kinase  protein kinase  cmgc  cdkl",,5
249,148,"CMGC protein kinase MAPK family","Mapk","enzyme  kinase  protein kinase  cmgc  mapk","A superfamily of PROTEIN-SERINE-THREONINE KINASES that are activated by diverse stimuli via protein kinase cascades. They are the final components of the cascades, activated by phosphorylation by MITOGEN-ACTIVATED PROTEIN KINASE KINASES, which in turn are activated by mitogen-activated protein kinase kinase kinases (MAP KINASE KINASE KINASES). [MESH:D020928]",5
250,148,"CMGC protein kinase SRPK family","Srpk","enzyme  kinase  protein kinase  cmgc  srpk",,5
251,158,"Other protein kinase AUR family","Aur","enzyme  kinase  protein kinase  other  aur",,5
252,158,"Other protein kinase CK2 family","Ck2","enzyme  kinase  protein kinase  other  ck2","A ubiquitous casein kinase that is comprised of two distinct catalytic subunits and dimeric regulatory subunit. Casein kinase II has been shown to phosphorylate a large number of substrates, many of which are proteins involved in the regulation of gene expression. [MESH:D047390]",5
253,158,"Other protein kinase IKK family","Ikk","enzyme  kinase  protein kinase  other  ikk","A protein serine/threonine kinase that phosphorylates IkappaB, thereby targeting this for proteasomal degradation and allowing the nuclear translocation of kB. Composed of alpha, beta and gamma subunits, the latter not having kinase activity but presumed to play a regulatory role. [GOC:ma] [MESH:]",5
254,158,"Other protein kinase MOS family","Mos","enzyme  kinase  protein kinase  other  mos",,5
255,158,"Other protein kinase NAK family","Nak","enzyme  kinase  protein kinase  other  nak",,5
256,158,"Other protein kinase NEK family","Nek","enzyme  kinase  protein kinase  other  nek",,5
257,158,"Other protein kinase PLK family","Plk","enzyme  kinase  protein kinase  other  plk",,5
258,158,"Other protein kinase ULK family","Ulk","enzyme  kinase  protein kinase  other  ulk",,5
259,158,"Other protein kinase WEE family","Wee","enzyme  kinase  protein kinase  other  wee",,5
260,158,"Other protein kinase Wnk family","Wnk","enzyme  kinase  protein kinase  other  wnk",,5
261,1331,"STE protein kinase STE11 family","Ste11","enzyme  kinase  protein kinase  ste  ste11","Mitogen-activated protein kinase kinase kinases (MAPKKKs) are serine-threonine protein kinases that initiate protein kinase signaling cascades. They phosphorylate MITOGEN-ACTIVATED PROTEIN KINASE KINASES; (MAPKKs) which in turn phosphorylate MITOGEN-ACTIVATED PROTEIN KINASES; (MAPKs). [MESH:D020930]",5
262,1331,"STE protein kinase STE20 family","Ste20","enzyme  kinase  protein kinase  ste  ste20",,5
269,1339,"CAMK protein kinase CAMK2 family","Camk2","enzyme  kinase  protein kinase  camk  camk2","A multifunctional calcium-calmodulin-dependent protein kinase subtype that occurs as an oligomeric protein comprised of twelve subunits. It differs from other enzyme subtypes in that it lacks a phosphorylatable activation domain that can respond to CALCIUM-CALMODULIN-DEPENDENT PROTEIN KINASE KINASE. [MESH:D054732]",5
270,1339,"CAMK protein kinase RAD53 family","Rad53","enzyme  kinase  protein kinase  camk  rad53",,5
271,158,"Other protein kinase CDC7 family","Cdc7","enzyme  kinase  protein kinase  other  cdc7",,5
272,158,"Other protein kinase NKF1 family","Nkf1","enzyme  kinase  protein kinase  other  nkf1",,5
273,158,"Other protein kinase TOPK family","Topk","enzyme  kinase  protein kinase  other  topk",,5
279,1103,"Serine/threonine/tyrosine protein phosphatase","Ser_Thr_Tyr","enzyme  phosphatase  protein phosphatase  ser_thr_tyr","A sub-class of protein tyrosine phosphatases that contain an additional phosphatase activity which cleaves phosphate ester bonds on SERINE or THREONINE residues that are located on the same protein. [MESH:D054637]",4
281,1271,"Calcium sensing receptor","Calcium sensing receptor","membrane receptor  7tm3  ion  calcium sensing receptor  calcium sensing receptor","A class of G-protein-coupled receptors that react to varying extracellular CALCIUM levels. Calcium-sensing receptors in the PARATHYROID GLANDS play an important role in the maintenance of calcium HOMEOSTASIS by regulating the release of PARATHYROID HORMONE. They differ from INTRACELLULAR CALCIUM-SENSING PROTEINS which sense intracellular calcium levels. [MESH:D044169]",5
283,1618,"AGC protein kinase GRK subfamily","Grk","enzyme  kinase  protein kinase  agc  grk  grk",,6
286,206,"AGC protein kinase PKC eta subfamily","Eta","enzyme  kinase  protein kinase  agc  pkc  eta",,6
287,1648,"AGC protein kinase MSK subfamily","Msk","enzyme  kinase  protein kinase  agc  rsk  msk",,6
288,1648,"AGC protein kinase p70 subfamily","p70","enzyme  kinase  protein kinase  agc  rsk  p70","A family of ribosomal protein S6 kinases that are considered the major physiological kinases for RIBOSOMAL PROTEIN S6. Unlike RIBOSOMAL PROTEIN S6 KINASES, 90KDa the proteins in this family are sensitive to the inhibitory effects of RAPAMYCIN and contain a single kinase domain. They are referred to as 70kDa proteins, however ALTERNATIVE SPLICING of mRNAs for proteins in this class also results in 85kDa variants being formed. [MESH:D038762]",6
289,1648,"AGC protein kinase RSK subfamily","Rsk","enzyme  kinase  protein kinase  agc  rsk  rsk","A family of ribosomal protein S6 kinases that are structurally distinguished from RIBOSOMAL PROTEIN S6 KINASES, 70-KDA by their apparent molecular size and the fact they contain two functional kinase domains. Although considered RIBOSOMAL PROTEIN S6 KINASES, members of this family are activated via the MAP KINASE SIGNALING SYSTEM and have been shown to act on a diverse array of substrates that are involved in cellular regulation such as RIBOSOMAL PROTEIN S6 and CAMP RESPONSE ELEMENT-BINDING PROTEIN. [MESH:D038744]",6
291,1452,"Atypical protein kinase BCR family","Bcr","enzyme  kinase  protein kinase  atypical  bcr","Proto-oncogene protein bcr is a serine-threonine kinase that functions as a negative regulator of CELL PROLIFERATION and NEOPLASTIC CELL TRANSFORMATION. It is commonly fused with cellular abl protein to form BCR-ABL FUSION PROTEINS in PHILADELPHIA CHROMOSOME positive LEUKEMIA patients. [MESH:D051562]",5
292,158,"Other protein kinase Bud32 family","Bud 32","enzyme  kinase  protein kinase  other  bud 32",,5
293,158,"Other protein kinase Haspin family","Haspin","enzyme  kinase  protein kinase  other  haspin",,5
294,1623,"TKL protein kinase ILK subfamily","Ilk","enzyme  kinase  protein kinase  tkl  mlk  ilk",,6
295,1623,"TKL protein kinase LZK subfamily","Lzk","enzyme  kinase  protein kinase  tkl  mlk  lzk",,6
297,148,"CMGC protein kinase CLK family","Clk","enzyme  kinase  protein kinase  cmgc  clk",,5
298,1331,"STE protein kinase STE7 family","Ste7","enzyme  kinase  protein kinase  ste  ste7","A serine-threonine protein kinase family whose members are components in protein kinase cascades activated by diverse stimuli. These MAPK kinases phosphorylate MITOGEN-ACTIVATED PROTEIN KINASES and are themselves phosphorylated by MAP KINASE KINASE KINASES. JNK kinases (also known as SAPK kinases) are a subfamily. [MESH:D020929]",5
301,1668,"AGC protein kinase GEK subfamily","Gek","enzyme  kinase  protein kinase  agc  dmpk  gek",,6
302,1618,"AGC protein kinase BARK subfamily","Bark","enzyme  kinase  protein kinase  agc  grk  bark","G-protein-coupled receptor kinases that mediate agonist-dependent PHOSPHORYLATION and desensitization of BETA-ADRENERGIC RECEPTORS. [MESH:D051552]",6
303,206,"AGC protein kinase PKC iota subfamily","Iota","enzyme  kinase  protein kinase  agc  pkc  iota",,6
304,206,"AGC protein kinase PKC theta","Theta","enzyme  kinase  protein kinase  agc  pkc  theta",,6
305,1452,"Atypical protein kinase PIKK family","Pikk","enzyme  kinase  protein kinase  atypical  pikk",,5
306,1640,"CMGC protein kinase MAK","Mak","enzyme  kinase  protein kinase  cmgc  rck  mak",,6
307,1623,"TKL protein kinase TAK1 subfamily","Tak1","enzyme  kinase  protein kinase  tkl  mlk  tak1",,6
308,158,"Other protein kinase TTK family","Ttk","enzyme  kinase  protein kinase  other  ttk",,5
310,156,"Receptor tyrosine-protein phosphatase","Receptor","enzyme  phosphatase  protein phosphatase  tyr  receptor",,5
314,1668,"AGC protein kinase CRIK subfamily","Crik","enzyme  kinase  protein kinase  agc  dmpk  crik",,6
315,1668,"AGC protein kinase ROCK subfamily","Rock","enzyme  kinase  protein kinase  agc  dmpk  rock","A group of intracellular-signaling serine threonine kinases that bind to RHO GTP-BINDING PROTEINS. They were originally found to mediate the effects of rhoA GTP-BINDING PROTEIN on the formation of STRESS FIBERS and FOCAL ADHESIONS. Rho-associated kinases have specificity for a variety of substrates including MYOSIN-LIGHT-CHAIN PHOSPHATASE and LIM KINASES. [MESH:D054460]",6
317,206,"AGC protein kinase PKC alpha subfamily","Alpha","enzyme  kinase  protein kinase  agc  pkc  alpha","A cytoplasmic serine threonine kinase involved in regulating CELL DIFFERENTIATION and CELLULAR PROLIFERATION. Overexpression of this enzyme has been shown to promote PHOSPHORYLATION of BCL-2 PROTO-ONCOGENE PROTEINS and chemoresistance in human acute leukemia cells. [MESH:D051571]",6
318,206,"AGC protein kinase PKC delta subfamily","Delta","enzyme  kinase  protein kinase  agc  pkc  delta","A ubiquitously expressed protein kinase that is involved in a variety of cellular SIGNAL PATHWAYS. Its activity is regulated by a variety of signaling protein tyrosine kinase. [MESH:D051745]",6
320,1452,"Atypical protein kinase alpha family","Alpha","enzyme  kinase  protein kinase  atypical  alpha",,5
321,210,"CK1 protein kinase CK1-a","Ck1-a","enzyme  kinase  protein kinase  ck1  ck1  ck1-a","A casein kinase I isoenzyme that plays a role in intracellular signaling pathways including the WNT SIGNALING PATHWAY, the CELL CYCLE, membrane trafficking, and RNA processing. Multiple isoforms of casein kinase I alpha exist and are due to ALTERNATIVE SPLICING. [MESH:D048128]",6
322,210,"CK1 protein kinase CK1-g","Ck1-g","enzyme  kinase  protein kinase  ck1  ck1  ck1-g",,6
323,237,"CMGC protein kinase CDC2 subfamily","Cdc2","enzyme  kinase  protein kinase  cmgc  cdk  cdc2","Phosphoprotein with protein kinase activity that functions in the G2/M phase transition of the CELL CYCLE. It is the catalytic subunit of the MATURATION-PROMOTING FACTOR and complexes with both CYCLIN A and CYCLIN B in mammalian cells. The maximal activity of cyclin-dependent kinase 1 is achieved when it is fully dephosphorylated. [MESH:D016203]",6
324,237,"CMGC protein kinase CDK2","Cdk2","enzyme  kinase  protein kinase  cmgc  cdk  cdk2",,6
325,237,"CMGC protein kinase CDK5 subfamily","Cdk5","enzyme  kinase  protein kinase  cmgc  cdk  cdk5","A serine-threonine kinase that plays important roles in CELL DIFFERENTIATION; CELL MIGRATION; and CELL DEATH of NERVE CELLS. It is closely related to other CYCLIN-DEPENDENT KINASES but does not seem to participate in CELL CYCLE regulation. [MESH:D051360]",6
326,237,"CMGC protein kinase CDK7 subfamily","Cdk7","enzyme  kinase  protein kinase  cmgc  cdk  cdk7",,6
327,237,"CMGC protein kinase CDK8 subfamily","Cdk8","enzyme  kinase  protein kinase  cmgc  cdk  cdk8","A CYCLIN C dependent kinase that is an important component of the mediator complex. The enzyme is activated by its interaction with CYCLIN C and plays a role in transcriptional regulation by phosphorylating RNA POLYMERASE II. [MESH:D056850]",6
328,237,"CMGC protein kinase CDK9 subfamily","Cdk9","enzyme  kinase  protein kinase  cmgc  cdk  cdk9","A multifunctional CDC2 kinase-related kinase that plays roles in transcriptional elongation, CELL DIFFERENTIATION, and APOPTOSIS. It is found associated with CYCLIN T and is a component of POSITIVE TRANSCRIPTIONAL ELONGATION FACTOR B. [MESH:D042863]",6
329,249,"CMGC protein kinase ERK subfamily","Erk","enzyme  kinase  protein kinase  cmgc  mapk  erk","A mitogen-activated protein kinase subfamily that is widely expressed and plays a role in regulation of MEIOSIS; MITOSIS; and post mitotic functions in differentiated cells. The extracellular signal regulated MAP kinases are regulated by a broad variety of CELL SURFACE RECEPTORS and can be activated by certain CARCINOGENS. [MESH:D048049]",6
330,249,"CMGC protein kinase JNK subfamily","Jnk","enzyme  kinase  protein kinase  cmgc  mapk  jnk","A subgroup of mitogen-activated protein kinases that activate TRANSCRIPTION FACTOR AP-1 via the phosphorylation of C-JUN PROTEINS. They are components of intracellular signaling pathways that regulate CELL PROLIFERATION; APOPTOSIS; and CELL DIFFERENTIATION. [MESH:D048031]",6
331,249,"CMGC protein kinase nmo subfamily","nmo","enzyme  kinase  protein kinase  cmgc  mapk  nmo",,6
332,249,"CMGC protein kinase p38 subfamily","p38","enzyme  kinase  protein kinase  cmgc  mapk  p38","A mitogen-activated protein kinase subfamily that regulates a variety of cellular processes including CELL GROWTH PROCESSES; CELL DIFFERENTIATION; APOPTOSIS; and cellular responses to INFLAMMATION. The P38 MAP kinases are regulated by CYTOKINE RECEPTORS and can be activated in response to bacterial pathogens. [MESH:D048051]",6
334,1629,"Other protein kinase HRI","Hri","enzyme  kinase  protein kinase  other  pek  hri",,6
335,1629,"Other protein kinase PEK subfamily","Pek","enzyme  kinase  protein kinase  other  pek  pek",,6
336,1629,"Other protein kinase PKR","Pkr","enzyme  kinase  protein kinase  other  pek  pkr",,6
340,261,"STE protein kinase ASK","Ask","enzyme  kinase  protein kinase  ste  ste11  ask",,6
341,262,"STE protein kinase KHS subfamily","Khs","enzyme  kinase  protein kinase  ste  ste20  khs",,6
342,262,"STE protein kinase MSN subfamily","Msn","enzyme  kinase  protein kinase  ste  ste20  msn",,6
343,262,"STE protein kinase MST subfamily","Mst","enzyme  kinase  protein kinase  ste  ste20  mst",,6
344,262,"STE protein kinase SLK subfamily","Slk","enzyme  kinase  protein kinase  ste  ste20  slk",,6
345,262,"STE protein kinase TAO subfamily","Tao","enzyme  kinase  protein kinase  ste  ste20  tao",,6
346,262,"STE protein kinase YSK subfamily","Ysk","enzyme  kinase  protein kinase  ste  ste20  ysk",,6
348,1678,"TKL protein kinase LIMK subfamily","Limk","enzyme  kinase  protein kinase  tkl  lisk  limk","Serine protein kinases involved in the regulation of ACTIN polymerization and MICROTUBULE disassembly. Their activity is regulated by phosphorylation of a threonine residue within the activation loop by intracellular signaling kinases such as P21-ACTIVATED KINASES and by RHO KINASE. [MESH:D054461]",6
349,1623,"TKL protein kinase HH498 subfamily","HH498","enzyme  kinase  protein kinase  tkl  mlk  hh498",,6
352,1153,"Nuclear hormone receptor subfamily 1 group A member 1","NR1A1","transcription factor  nuclear receptor  nr1  nr1a  nr1a1","High affinity receptors for THYROID HORMONES, especially TRIIODOTHYRONINE. These receptors are usually found in the nucleus where they regulate DNA transcription. They are encoded by the THRA gene (also known as NR1A1, THRA1, ERBA or ERBA1 gene) as several isoforms produced by alternative splicing. [MESH:D037021]",5
353,1153,"Nuclear hormone receptor subfamily 1 group A member 2","NR1A2","transcription factor  nuclear receptor  nr1  nr1a  nr1a2","High affinity receptors for THYROID HORMONES, especially TRIIODOTHYRONINE. These receptors are usually found in the nucleus where they regulate DNA transcription. They are encoded by the THRB gene (also known as NR1A2, THRB1, or ERBA2 gene) as several isoforms produced by alternative splicing. Mutations in the THRB gene cause THYROID HORMONE RESISTANCE SYNDROME. [MESH:D037042]",5
354,1154,"Nuclear hormone receptor subfamily 1 group B member 1","NR1B1","transcription factor  nuclear receptor  nr1  nr1b  nr1b1",,5
355,1154,"Nuclear hormone receptor subfamily 1 group B member 2","NR1B2","transcription factor  nuclear receptor  nr1  nr1b  nr1b2",,5
356,1154,"Nuclear hormone receptor subfamily 1 group B member 3","NR1B3","transcription factor  nuclear receptor  nr1  nr1b  nr1b3",,5
357,1155,"Nuclear hormone receptor subfamily 1 group C member 1","NR1C1","transcription factor  nuclear receptor  nr1  nr1c  nr1c1","A nuclear transcription factor. Heterodimerization with RETINOID X RECEPTOR GAMMA is important to metabolism of LIPIDS. It is the target of FIBRATES to control HYPERLIPIDEMIAS. [MESH:D047493]",5
358,1155,"Nuclear hormone receptor subfamily 1 group C member 2","NR1C2","transcription factor  nuclear receptor  nr1  nr1c  nr1c2","A nuclear transcription factor. It is activated by PROSTACYCLIN. [MESH:D047494]",5
359,1155,"Nuclear hormone receptor subfamily 1 group C member 3","NR1C3","transcription factor  nuclear receptor  nr1  nr1c  nr1c3","A nuclear transcription factor. Heterodimerization with RETINOID X RECEPTOR ALPHA is important in regulation of GLUCOSE metabolism and CELL GROWTH PROCESSES. It is a target of THIAZOLIDINEDIONES for control of DIABETES MELLITUS. [MESH:D047495]",5
360,1158,"Nuclear hormone receptor subfamily 1 group H member 1","NR1H1","transcription factor  nuclear receptor  nr1  nr1h  nr1h1",,5
361,1158,"Nuclear hormone receptor subfamily 1 group H member 3","NR1H3","transcription factor  nuclear receptor  nr1  nr1h  nr1h3",,5
362,1158,"Nuclear hormone receptor subfamily 1 group H member 4","NR1H4","transcription factor  nuclear receptor  nr1  nr1h  nr1h4",,5
