Compound,Total clearance (ml/min/kg),Set,SMILES
Efavirenz,3.10,Validation,c12[C@](C#CC3CC3)(OC(=O)Nc1ccc(c2)Cl)C(F)(F)F
Ampicillin,3.11,Training,N12[C@@H]([C@H](NC([C@H](c3ccccc3)N)=O)C2=O)SC([C@@H]1C(O)=O)(C)C
Temafloxacin,3.19,Training,c12n(c3c(cc(F)cc3)F)cc(C(O)=O)c(c1cc(F)c(c2)N1C[C@@H](NCC1)C)=O
HI-6,3.20,Validation,c1cc[n+](COC[n+]2ccc(cc2)C(N)=O)c(c1)\C=N\O
Risperidone,3.20,Training,c1(c2c(cc(F)cc2)on1)C1CCN(CCc2c(n3c(CCCC3)nc2C)=O)CC1
Acecainide,3.22,Training,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1
Lomefloxacin,3.30,Validation,c12c(c(c(C(O)=O)cn1CC)=O)cc(F)c(c2F)N1C[C@@H](NCC1)C
Cefprozil,3.31,Validation,N12[C@@H]([C@H](NC([C@H](c3ccc(O)cc3)N)=O)C2=O)SCC(=C1C(O)=O)\C=C\C
Moexiprilat,3.31,Validation,c12c(C[C@H](C(O)=O)N(C1)C([C@@H](N[C@@H](CCc1ccccc1)C(O)=O)C)=O)cc(OC)c(c2)OC
Cilazaprilat,3.33,Training,c1ccc(cc1)CC[C@@H](C(O)=O)N[C@H]1CCCN2CCC[C@H](C(O)=O)N2C1=O
Dronabinol,3.33,Training,c12[C@@H]3[C@@H](C(C)(C)Oc1cc(CCCCC)cc2O)CCC(=C3)C
Imatinib,3.33,Validation,c1ncccc1c1nc(ncc1)Nc1c(ccc(c1)NC(c1ccc(cc1)CN1CCN(CC1)C)=O)C
Tianeptine,3.43,Training,c12[C@H](c3c(N(C)S(c1cc(Cl)cc2)(=O)=O)cccc3)NCCCCCCC(=O)O
Ganciclovir,3.46,Training,c12c(ncn1COC(CO)CO)c(=O)[nH]c(n2)N
Drotaverine,3.47,Training,CCOc1ccc(\C=C2/NCCc3cc(OCC)c(OCC)cc23)cc1OCC
Meropenem,3.49,Training,N12[C@H]([C@@H]([C@@H](C)O)C2=O)[C@@H](C)C(=C1C(O)=O)S[C@H]1C[C@@H](C(N(C)C)=O)NC1
Ofloxacin,3.50,Training,c12c3c(N4CCN(C)CC4)c(F)c(c1c(ccn2[C@H](C)CO3)=O)C(O)=O
Bisoprolol,3.55,Training,c1(ccc(COCCOC(C)C)cc1)OC[C@@H](CNC(C)C)O
Glycerol,3.55,Validation,C(CO)(CO)O
Lumefantrine,3.57,Training,c1c2c(c(cc1Cl)[C@@H](O)CN(CCCC)CCCC)c1c(\C2=C\c2ccc(cc2)Cl)cc(cc1)Cl
Moxifloxacin,3.57,Validation,c12n(C3CC3)cc(C(O)=O)c(c2cc(c(c1OC)N1C[C@@H]2CCCN[C@@H]2C1)F)=O
Pirenzepine,3.57,Training,N1(c2c(NC(c3c1cccc3)=O)cccn2)C(CN1CCN(C)CC1)=O
Clavulanic acid,3.60,Training,N12[C@@H](OC(\[C@H]1C(O)=O)=C\CO)CC2=O
Hexobarbital,3.60,Training,C=1([C@]2(C(N(C(=O)NC2=O)C)=O)C)CCCCC1
Prednisone,3.60,Validation,C1[C@H]2[C@H]3[C@@H]([C@@]4(C(=CC(=O)C=C4)CC3)C)C(=O)C[C@@]2([C@](C(CO)=O)(O)C1)C
Atomoxetine,3.63,Training,c1(ccccc1)[C@@H](Oc1c(cccc1)C)CCNC
Bicalutamide,3.67,Training,c1(c(ccc(c1)NC([C@@](CS(c1ccc(F)cc1)(=O)=O)(C)O)=O)C#N)C(F)(F)F
Piperacillin,3.68,Training,N12[C@@H](C(NC([C@H](c3ccccc3)NC(N3C(C(N(CC)CC3)=O)=O)=O)=O)C2=O)SC(C)(C)[C@@H]1C(=O)O
2-fluoro-arabinoside-A,3.70,Training,c1nc2c(N)nc(nc2n1[C@H]1[C@H]([C@@H]([C@H](COP(O)(O)=O)O1)O)O)F
Adefovir,3.72,Validation,c12c(ncn1CCOCP(O)(O)=O)c(ncn2)N
Cadralazine,3.79,Validation,c1(N(C[C@@H](C)O)CC)ccc(NNC(OCC)=O)nn1
Trapidil,3.79,Training,n12c(nc(N(CC)CC)cc1C)ncn2
Esomeprazole,3.81,Training,Cc1cnc(C[S@@]([C@H]2Nc3ccc(cc3[N-]2)OC)=O)c(C)c1OC
Sematilide,3.86,Training,CCN(CC)CCNC(=O)c1ccc(NS(C)(=O)=O)cc1
Quinidine,3.87,Training,c12c([C@@H]([C@@H]3[N@@]4C[C@@H](C=C)[C@H](C3)CC4)O)ccnc1ccc(c2)OC
Tirofiban,3.87,Training,c1(C[C@@H](NS(CCCC)(=O)=O)C(O)=O)ccc(OCCCCC2CCNCC2)cc1
Lisinopril,3.89,Training,N1([C@H](CCC1)C(O)=O)C([C@H](N[C@@H](CCc1ccccc1)C(O)=O)CCCCN)=O
Terbutaline,4.00,Validation,c1(cc(O)cc(c1)O)[C@@H](CNC(C)(C)C)O
Fosfomycin,4.02,Training,O1[C@H]([C@H]1P(O)(O)=O)C
Levacetylmethadol,4.09,Validation,c1ccccc1C(c1ccccc1)([C@H](CC)OC(=O)C)C[C@@H](C)N(C)C
Pimozide,4.10,Training,n1(c2c(cccc2)[nH]c1=O)C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
Enprofylline,4.16,Training,C(n1c2c(c(=O)[nH]c1=O)[nH]cn2)CC
Amantadine,4.17,Validation,C12(CC3CC(C1)CC(C2)C3)N
Flomoxef,4.17,Training,N12[C@@H]([C@@](C2=O)(NC(CSC(F)F)=O)OC)OCC(=C1C(=O)O)CSc1n(nnn1)CCO
Midazolam,4.17,Validation,c12c(C(c3c(cccc3)F)=NCc3n1c(nc3)C)cc(Cl)cc2
Busulfan,4.18,Training,O(S(C)(=O)=O)CCCCOS(C)(=O)=O
Cisapride,4.21,Training,c1(c(cc(N)c(c1)Cl)OC)C(N[C@@H]1[C@H](C[N@@](CCCOc2ccc(F)cc2)CC1)OC)=O
Pimagedine,4.27,Training,C(NN)(N)=[NH2]
Cefuzonam,4.28,Training,CO\N=C(/c1csc(N)n1)C(N[C@@H]1C(N2C(=C(CS[C@H]12)CSc1cnns1)C(O)=O)=O)=O
Hydrocortisone,4.29,Training,C1[C@H]2[C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)[C@H](O)C[C@@]2([C@](C(CO)=O)(O)C1)C
Cefalexin,4.30,Validation,N12[C@@H]([C@H](NC([C@@H](c3ccccc3)N)=O)C1=O)SCC(=C2C(O)=O)C
Amsacrine,4.33,Training,c1(c2c(nc3c1cccc3)cccc2)Nc1c(cc(NS(C)(=O)=O)cc1)OC
Dexrazoxane,4.42,Training,N1(C[C@H](N2CC(NC(C2)=O)=O)C)CC(NC(C1)=O)=O
Loracarbef,4.45,Validation,N12[C@H]([C@@H](NC([C@H](c3ccccc3)N)=O)C1=O)CCC(=C2C(O)=O)Cl
Recainam,4.47,Validation,CC(C)NCCCNC(=O)Nc1c(C)cccc1C
Chlorothiazide,4.50,Training,c12c(cc(Cl)c(c1)S(N)(=O)=O)N=CNS2(=O)=O
Spiraprilat,4.52,Training,CCOC([C@@H](CCc1ccccc1)N[C@@H](C)C(N1CC2(C[C@H]1C(O)=O)SCCS2)=O)=O
Thiotepa,4.60,Training,P(=S)(N1CC1)(N1CC1)N1CC1
Argatroban,4.70,Validation,c12c(S(N[C@H](C(N3[C@H](C[C@H](C)CC3)C(O)=O)=O)CCCNC(N)=[NH2])(=O)=O)cccc1C[C@@H](C)CN2
Betaxolol,4.70,Validation,c1(ccc(CCOCC2CC2)cc1)OC[C@@H](CNC(C)C)O
Cefradine,4.80,Training,N12[C@@H]([C@H](NC([C@H](C=3CC=CCC3)N)=O)C1=O)SCC(=C2C(O)=O)C
Enalaprilat,4.90,Training,N1([C@H](CCC1)C(O)=O)C([C@@H](N[C@@H](CCc1ccccc1)C(O)=O)C)=O
Lamivudine,4.95,Validation,n1([C@H]2O[C@@H](CO)SC2)c(nc(N)cc1)=O
Paracetamol,5.00,Training,c1(ccc(O)cc1)NC(C)=O
Ribavirin,5.00,Training,n1([C@H]2O[C@@H](CO)[C@H]([C@@H]2O)O)nc(C(N)=O)cn1
Clindamycin,5.05,Training,O1[C@H]([C@H](NC([C@@H]2C[C@H](CCC)C[N@]2C)=O)[C@H](C)Cl)[C@H]([C@H](O)[C@H]([C@@H]1SC)O)O
Loprazolam,5.09,Validation,N12c3c(C(c4c(cccc4)Cl)=NCC1=NC(\C2=O)=C\N1CCN(C)CC1)cc([N+](=O)[O-])cc3
Phencyclidine,5.17,Training,C1(c2ccccc2)(N2CCCCC2)CCCCC1
Melphalan,5.20,Training,c1(N(CCCl)CCCl)ccc(C[C@H](C(O)=O)N)cc1
Citalopram,5.21,Validation,c12[C@@](c3ccc(F)cc3)(OCc1cc(C#N)cc2)CCCN(C)C
Dofetilide,5.23,Training,c1(ccc(CC[N@](CCOc2ccc(NS(C)(=O)=O)cc2)C)cc1)NS(C)(=O)=O
Nifedipine,5.23,Training,C1(c2c(cccc2)[N+](=O)[O-])C(=C(NC(=C1C(OC)=O)C)C)C(OC)=O
Levosimendan,5.29,Training,c1(C=2C(CC(=O)NN2)C)ccc(N\N=C(\C#N)C#N)cc1
Cefotiam,5.32,Training,N12[C@@H]([C@H](NC(Cc3nc(N)sc3)=O)C2=O)SCC(=C1C(O)=O)CSc1n(nnn1)CCN(C)C
Galantamine,5.37,Training,c12c3c(c(cc1)OC)O[C@H]1C[C@@H](O)C=C[C@@]31CC[N@@](C2)C
Zolpidem,5.41,Training,c1(c(c2ccc(C)cc2)nc2ccc(cn12)C)CC(N(C)C)=O
Clozapine,5.49,Training,C=1(c2c(Nc3c(N1)cc(Cl)cc3)cccc2)N1CCN(C)CC1
Methylprednisolone,5.49,Training,C1[C@@H]2[C@@H]([C@@]3(C(=CC(=O)C=C3)[C@H]1C)C)[C@H](O)C[C@]1([C@H]2CC[C@@]1(C(CO)=O)O)C
Isoniazid,5.55,Training,c1(C(NN)=O)ccncc1
Flecainide,5.60,Validation,c1(cc(OCC(F)(F)F)ccc1OCC(F)(F)F)C(NC[C@@H]1CCCCN1)=O
Zalcitabine,5.61,Training,n1([C@H]2O[C@@H](CO)CC2)c(nc(N)cc1)=O
Metrifonate,5.67,Training,P([C@@H](C(Cl)(Cl)Cl)O)(OC)(OC)=O
Clonidine,5.70,Training,c1(NC=2NCCN2)c(cccc1Cl)Cl
Sultopride,5.71,Validation,c1(c(ccc(c1)S(CC)(=O)=O)OC)C(NC[C@@H]1[N@](CCC1)CC)=O
Doxapram,5.75,Training,C1([C@@H](CN(C1=O)CC)CCN1CCOCC1)(c1ccccc1)c1ccccc1
Ketanserin,5.86,Training,c12c(c(n(CCN3CCC(C(c4ccc(F)cc4)=O)CC3)c([nH]1)=O)=O)cccc2
Amlodipine,5.90,Validation,C=1([C@H](C(=C(C)NC1COCCN)C(OC)=O)c1c(cccc1)Cl)C(OCC)=O
Diclofenac,5.90,Training,c1(c(cccc1)CC(=O)O)Nc1c(cccc1Cl)Cl
Rabeprazole,6.00,Training,c12c([nH]c(n1)[S@@](Cc1c(c(ccn1)OCCCOC)C)=O)cccc2
Rolipram,6.00,Validation,c1(c(ccc(c1)[C@H]1CNC(C1)=O)OC)OC1CCCC1
Sildenafil,6.00,Training,c1(c2nc3c(n(C)nc3CCC)c([nH]2)=O)c(ccc(c1)S(N1CCN(C)CC1)(=O)=O)OCC
Tolterodine,6.03,Training,c1([C@@H](c2ccccc2)CCN(C(C)C)C(C)C)c(ccc(c1)C)O
Cefaclor,6.10,Training,N12[C@@H]([C@H](NC([C@H](c3ccccc3)N)=O)C1=O)SCC(=C2C(O)=O)Cl
Oxacillin,6.10,Validation,N12[C@@H]([C@H](NC(c3c(c4ccccc4)noc3C)=O)C2=O)SC([C@@H]1C(=O)O)(C)C
Milrinone,6.17,Training,c1(c2ccncc2)cc(c(=O)[nH]c1C)C#N
Perindopril,6.19,Training,N1([C@H]2[C@@H](CCCC2)C[C@H]1C(O)=O)C([C@@H](N[C@@H](C(OCC)=O)CCC)C)=O
Lansoprazole,6.23,Training,c12c(nc([nH]1)[S@@](Cc1c(c(ccn1)OCC(F)(F)F)C)=O)cccc2
Mexiletine,6.30,Training,c1(c(cccc1C)C)OC[C@@H](C)N
Moexipril,6.30,Training,c12c(C[C@H](C(O)=O)N(C1)C([C@@H](N[C@H](CCc1ccccc1)C(OCC)=O)C)=O)cc(OC)c(c2)OC
Naratriptan,6.35,Training,C12C(C3CCN(C)CC3)C[N]C1CCC(C2)CCS(NC)(=O)=O
Cefapirin,6.36,Training,C1([C@H]([C@H]2N1C(=C(CS2)COC(C)=O)C(O)=O)NC(=O)CSc1ccncc1)=O
Avitriptan,6.40,Training,c12c([nH]cc1CCCN1CCN(c3c(cncn3)OC)CC1)ccc(c2)CS(NC)(=O)=O
Buflomedil,6.43,Training,c1(c(cc(cc1OC)OC)OC)C(CCCN1CCCC1)=O
Alprenolol,6.47,Training,c1(c(cccc1)CC=C)OC[C@@H](CNC(C)C)O
Olanzapine,6.48,Validation,C=1(c2c(Nc3c(N1)cccc3)sc(c2)C)N1CCN(C)CC1
Eletriptan,6.50,Validation,c12c(C[C@@H]3[N@@](CCC3)C)c[nH]c1ccc(c2)CCS(c1ccccc1)(=O)=O
Bupivacaine,6.59,Training,C([C@H]1[N@@](CCCC1)CCCC)(Nc1c(cccc1C)C)=O
Ciprofloxacin,6.62,Training,c12n(C3CC3)cc(C(O)=O)c(c1cc(F)c(c2)N1CCNCC1)=O
Alfuzosin,6.67,Training,c12c(nc(N(CCCNC([C@@H]3CCCO3)=O)C)nc2N)cc(OC)c(c1)OC
Toborinone,6.67,Validation,c12c(ccc(c1)OC[C@@H](CNCc1cc(c(OC)cc1)OC)O)[nH]c(=O)cc2
Cefalotin,6.70,Validation,C1([C@H]([C@H]2N1C(=C(CS2)COC(C)=O)C(O)=O)NC(=O)Cc1sccc1)=O
Rilmenidine,6.73,Training,C(C1CC1)(C1CC1)NC1=NCCO1
Roxatidine,6.73,Training,c1(cc(ccc1)OCCCNC(CO)=O)CN1CCCCC1
Actisomide,6.79,Training,CC1=NC([C@](CCN(C(C)C)C(C)C)(c2ccccc2)[C@H]2CCCCN12)=O
Paroxetine,6.80,Validation,c1([C@@H]2[C@@H](COc3cc4c(OCO4)cc3)CNCC2)ccc(F)cc1
Nafcillin,6.89,Training,N12[C@@H]([C@H](NC(c3c4c(ccc3OCC)cccc4)=O)C2=O)SC([C@@H]1C(=O)O)(C)C
Fluocortolone,7.00,Training,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO
Chloroquine,7.09,Training,c12c(nccc1N[C@@H](CCCN(CC)CC)C)cc(Cl)cc2
Metoclopramide,7.13,Training,c1(c(cc(N)c(c1)Cl)OC)C(NCCN(CC)CC)=O
Ropivacaine,7.14,Validation,C([C@H]1[N@@](CCCC1)CCC)(Nc1c(cccc1C)C)=O
Treprostinil,7.14,Training,CCCCC[C@@H](CC[C@H]1[C@H](C[C@H]2Cc3c(cccc3OCC(O)=O)CC12)O)O
Zileuton,7.14,Validation,c1([C@@H](N(C(N)=O)O)C)cc2ccccc2s1
Tasosartan,7.17,Training,c12N(Cc3ccc(c4c(c5[nH]nnn5)cccc4)cc3)C(CCc1c(nc(n2)C)C)=O
Ritipenem,7.21,Training,N12C(=C(COC(N)=O)S[C@@H]1[C@@H]([C@@H](C)O)C2=O)C(O)=O
Diphenhydramine,7.30,Training,C(c1ccccc1)(c1ccccc1)OCCN(C)C
Pseudoephedrine,7.33,Training,c1([C@H]([C@H](NC)C)O)ccccc1
Talipexole,7.38,Training,c12c(CC[N@@](CC1)CC=C)sc(n2)N
Triazolam,7.55,Training,c12c(C(c3c(cccc3)Cl)=NCc3n1c(nn3)C)cc(Cl)cc2
Celecoxib,7.59,Training,n1(c(c2ccc(C)cc2)cc(n1)C(F)(F)F)c1ccc(S(N)(=O)=O)cc1
simvastatin beta-hydroxy acid,7.60,Training,C1[C@H](C)C=C2C=C[C@H]([C@@H]([C@H]2[C@@H]1OC(=O)C(CC)(C)C)CC[C@H](C[C@H](CC(=O)O)O)O)C
Bendamustine,7.62,Validation,Cn1c(CCCC(O)=O)nc2cc(ccc12)N(CCCl)CCCl
Pindolol,7.69,Validation,c12c([nH]cc1)cccc2OC[C@@H](CNC(C)C)O
Bufuralol,7.70,Training,c12c(cc(o2)[C@@H](CNC(C)(C)C)O)cccc1CC
Amisulpride,7.80,Training,c1(c(cc(N)c(c1)S(CC)(=O)=O)OC)C(NC[C@@H]1[N@](CCC1)CC)=O
Salbutamol,7.89,Training,c1(cc(c(O)cc1)CO)[C@@H](CNC(C)(C)C)O
Metformin,7.91,Validation,C(NC(N)=[NH2])(N(C)C)=[NH2]
Procainamide,7.98,Training,c1(C(NCCN(CC)CC)=O)ccc(N)cc1
Atropine,8.00,Training,C1(C[C@@H]2N(C)[C@H](C1)CC2)OC([C@H](c1ccccc1)CO)=O
Famciclovir,8.00,Validation,c12n(cnc1cnc(n2)N)CCC(COC(C)=O)COC(C)=O
Zatebradine,8.00,Training,C1c2c(CC(N(C1)CCC[N@](CCc1ccc(c(c1)OC)OC)C)=O)cc(c(c2)OC)OC
Ethambutol,8.05,Training,N([C@@H](CC)CO)CCN[C@H](CC)CO
Oxybutynin,8.10,Training,c1([C@](C2CCCCC2)(C(OCC#CCN(CC)CC)=O)O)ccccc1
Timolol,8.10,Training,c1(c(OC[C@@H](CNC(C)(C)C)O)nsn1)N1CCOCC1
Pramipexole,8.20,Validation,c12c(C[C@H](NCCC)CC2)sc(n1)N
Mitomycin,8.23,Training,N12[C@@]([C@@H]3[C@H](C2)N3)([C@@H](C=2C(C(N)=C(C(C12)=O)C)=O)COC(N)=O)OC
Stavudine,8.24,Training,n1([C@H]2O[C@@H](CO)C=C2)c([nH]c(=O)c(c1)C)=O
Mirtazapine,8.25,Training,N12[C@H](c3c(cccc3)Cc3c1nccc3)C[N@](C)CC2
Propiverine,8.32,Training,CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1
Azelastine,8.33,Validation,c12c(nn([C@@H]3CCC[N@](CC3)C)c(c1cccc2)=O)Cc1ccc(Cl)cc1
Domperidone,8.33,Validation,n1(c2c(cc(Cl)cc2)[nH]c1=O)C1CCN(CCCn2c3c(cccc3)[nH]c2=O)CC1
Losartan,8.34,Training,n1(c(nc(c1CO)Cl)CCCC)Cc1ccc(c2c(c3[nH]nnn3)cccc2)cc1
Carteolol,8.40,Training,c12c(cccc1OC[C@@H](CNC(C)(C)C)O)NC(=O)CC2
Ketoconazole,8.40,Training,c1([C@@]2(O[C@H](COc3ccc(N4CCN(C(C)=O)CC4)cc3)CO2)Cn2ccnc2)c(cc(Cl)cc1)Cl
Crisnatol,8.44,Training,c12c(c3c(cccc3)c(c2)CNC(CO)(CO)C)ccc2c1cccc2
Pravastatin,8.50,Validation,C=12[C@@H]([C@H]([C@@H](C=C2)C)CC[C@@H](C[C@@H](CC(=O)O)O)O)[C@@H](C[C@@H](O)C1)OC([C@@H](CC)C)=O
Pyridostigmine,8.57,Validation,c1(OC(N(C)C)=O)c[n+](ccc1)C
Cimetidine,8.63,Training,c1(c([nH]cn1)C)CSCCN\C(=[NH]\C#N)NC
Ritodrine,8.67,Training,C[C@H](NCCc1ccc(O)cc1)[C@H](O)c1ccc(O)cc1
Carvedilol,8.70,Validation,c12c3c(cccc3)[nH]c1cccc2OC[C@@H](CNCCOc1c(cccc1)OC)O
Gusperimus,8.77,Training,N([C@H](C(NCCCCNCCCN)=O)O)C(CCCCCCNC(N)=[NH2])=O
Hydrocodone,8.82,Training,c12[C@@]34[C@H]5[C@@H]([N@](C)CC4)Cc2ccc(c1O[C@@H]3C(=O)CC5)OC
Doxofylline,8.93,Training,c12c(n(c(=O)n(c2=O)C)C)ncn1CC1OCCO1
Famotidine,8.95,Training,c1(nc(CSCC\C(=[NH]\S(N)(=O)=O)N)cs1)\[NH]=C(\N)N
Tezosentan,9.05,Training,c1c(c(ccc1)Oc1c(nc(nc1NS(c1ncc(cc1)C(C)C)(=O)=O)c1cc(ncc1)c1n[nH]nn1)OCCO)OC
Repaglinide,9.17,Training,c1(c([C@@H](NC(Cc2cc(c(C(O)=O)cc2)OCC)=O)CC(C)C)cccc1)N1CCCCC1
Lidocaine,9.20,Training,c1(NC(CN(CC)CC)=O)c(cccc1C)C
Acetylsalicylic acid,9.30,Training,c1(c(cccc1)OC(C)=O)C(O)=O
Penciclovir,9.36,Training,c12c(ncn1CCC(CO)CO)c([nH]c(n2)N)=O
Methylphenidate,9.44,Training,c1([C@@H]([C@@H]2CCCCN2)C(OC)=O)ccccc1
Isradipine,9.52,Validation,c1([C@@H]2C(=C(NC(=C2C(OC)=O)C)C)C(OC(C)C)=O)c2c(ccc1)non2
Molsidomine,9.52,Validation,[n+]1(N2CCOCC2)cc(\N=C(\OCC)O)on1
Fluoxetine,9.60,Training,c1([C@@H](Oc2ccc(C(F)(F)F)cc2)CCNC)ccccc1
Mitoxantrone,9.60,Training,c12c(c(ccc1NCCNCCO)NCCNCCO)C(c1c(ccc(c1C2=O)O)O)=O
Nizatidine,9.63,Training,c1(nc(CSCCN\C(=C\[N+](=O)[O-])NC)cs1)CN(C)C
Amiloride,9.70,Training,c1(C(NC(N)=[NH2])=O)c(nc(N)c(n1)Cl)N
Chlorpromazine,9.80,Training,N1(c2c(Sc3c1cccc3)ccc(c2)Cl)CCCN(C)C
Tebufelone,9.88,Training,c1(c(cc(C(CCCC#C)=O)cc1C(C)(C)C)C(C)(C)C)O
Allopurinol,9.90,Validation,c12c(ncnc1O)[nH]nc2
Nitrofurantoin,9.90,Training,N1(CC(=O)NC1=O)\N=C\c1oc([N+](=O)[O-])cc1
Fluphenazine,10.00,Training,c12N(c3c(cccc3)Sc1ccc(c2)C(F)(F)F)CCCN1CCN(CCO)CC1
Ketobemidone,10.00,Training,C(CC)(=O)C1(CCN(CC1)C)c1cc(ccc1)O
Dexmedetomidine,10.01,Training,c1([C@@H](c2c[nH]cn2)C)c(c(ccc1)C)C
Nedocromil,10.20,Training,c12c(c3c(c(cc(o3)C(=O)O)=O)cc1c(cc(n2CC)C(=O)O)=O)CCC
Triflusal,10.71,Training,c1(c(ccc(c1)C(F)(F)F)C(O)=O)OC(C)=O
Tolamolol,10.80,Training,NC(=O)c1ccc(OCCNC[C@H](O)COc2c(C)cccc2)cc1
Perindoprilat,10.95,Training,CCC[C@H](N[C@@H](C)C(=O)N1[C@@H]2CCCC[C@H]2C[C@H]1C(O)=O)C(O)=O
Acebutolol,11.00,Validation,c1(c(cc(NC(CCC)=O)cc1)C(C)=O)OC[C@@H](CNC(C)C)O
Codeine,11.00,Training,c12[C@@]34[C@H]5[C@@H]([N@](C)CC4)Cc2ccc(c1O[C@@H]3[C@@H](O)C=C5)OC
Diaziquone,11.00,Training,C1(C(=C(C(C(=C1NC(OCC)=O)N1CC1)=O)NC(OCC)=O)N1CC1)=O
Mercaptopurine,11.00,Training,c12c(nc[nH]c1=S)nc[nH]2
Propyphenazone,11.00,Validation,c1(c(n(n(c1=O)c1ccccc1)C)C)C(C)C
Metaclazepam,11.06,Training,c12C(c3c(cccc3)Cl)=NC[C@@H](N(c1ccc(c2)Br)C)COC
Moclobemide,11.19,Training,c1(C(NCCN2CCOCC2)=O)ccc(Cl)cc1
Ropinirole,11.19,Validation,c12c(CCN(CCC)CCC)cccc1NC(C2)=O
Entacapone,11.22,Training,c1(cc(c(O)c(c1)O)[N+](=O)[O-])\C=C(\C(N(CC)CC)=O)C#N
Doxifluridine,11.43,Training,C[C@@H]1[C@H]([C@H]([C@H](n2cc(c([nH]c2=O)=O)F)O1)O)O
Oxycodone,11.43,Training,c12[C@@]34[C@]5([C@@H]([N@](C)CC4)Cc2ccc(c1O[C@@H]3C(=O)CC5)OC)O
Eprosartan,11.55,Validation,n1(c(\C=C(/Cc2cccs2)C(O)=O)cnc1CCCC)Cc1ccc(C(O)=O)cc1
Felodipine,11.59,Training,c1([C@@H]2C(=C(NC(=C2C(OC)=O)C)C)C(OCC)=O)c(c(ccc1)Cl)Cl
Amitriptyline,11.67,Training,C1(\c2c(CCc3c1cccc3)cccc2)=C\CCN(C)C
Topotecan,11.78,Training,c12c(c(n3Cc4c(c3c2)nc2ccc(c(c2c4)CN(C)C)O)=O)COC([C@]1(CC)O)=O
Haloperidol,11.80,Validation,c1(C2(CCN(CCCC(c3ccc(F)cc3)=O)CC2)O)ccc(Cl)cc1
Fentanyl,11.96,Training,N(C1CCN(CCc2ccccc2)CC1)(c1ccccc1)C(CC)=O
Enoximone,12.02,Training,c1(C(c2ccc(SC)cc2)=O)c([nH]c([nH]1)=O)C
Nicorandil,12.29,Training,c1(C(NCCO[N+](=O)[O-])=O)cccnc1
Trandolapril,12.38,Training,N1([C@H]2[C@@H](CCCC2)C[C@H]1C(O)=O)C([C@@H](N[C@H](CCc1ccccc1)C(OCC)=O)C)=O
Moxonidine,12.50,Training,c1(c(nc(C)nc1Cl)OC)NC=1NCCN1
Emedastine,12.52,Validation,c1(n(c2c(cccc2)n1)CCOCC)N1CCC[N@@](CC1)C
Sufentanil,12.70,Validation,C1(N(c2ccccc2)C(CC)=O)(CCN(CCc2cccs2)CC1)COC
Bromopride,12.86,Validation,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC
Alosetron,12.93,Training,c12c3c(cccc3)n(c1CCN(C2=O)Cc1c([nH]cn1)C)C
Abecarnil,13.00,Training,COCc1c(ncc2[nH]c3ccc(OCc4ccccc4)cc3c12)C(=O)OC(C)C
Cytarabine,13.00,Training,n1([C@H]2O[C@@H](CO)[C@H]([C@@H]2O)O)c(nc(N)cc1)=O
Abacavir,13.07,Training,c12c(n([C@H]3C[C@@H](CO)C=C3)cn2)nc(N)nc1NC1CC1
Triamcinolone,13.07,Training,F[C@]12[C@H]([C@H]3[C@]([C@](C(CO)=O)(O)[C@@H](C3)O)(C)C[C@H]2O)CCC=2[C@@]1(C=CC(C2)=O)C
Captopril,13.33,Training,N1([C@H](CCC1)C(O)=O)C([C@@H](CS)C)=O
Methohexital,13.33,Training,C1([C@](C(NC(N1C)=O)=O)([C@@H](C#CCC)C)CC=C)=O
Mebendazole,13.40,Training,c12c([nH]c(n1)NC(OC)=O)ccc(c2)C(c1ccccc1)=O
Etilefrine,13.63,Validation,c1c(ccc(c1)[C@H](CNCC)O)O
Propranolol,13.67,Training,c12c(OC[C@@H](CNC(C)C)O)cccc1cccc2
Doxepin,14.00,Validation,C1(\c2c(COc3c1cccc3)cccc2)=C\CCN(C)C
Nalmefene,14.40,Training,c12[C@@]34[C@]5([C@@H]([N@](CC6CC6)CC4)Cc2ccc(c1O[C@@H]3C(=C)CC5)O)O
Vinpocetine,15.00,Training,c12[C@@H]3[C@@]4(C=C(n1c1ccccc1c2CC[N@@]3CCC4)C(OCC)=O)CC
Didanosine,15.25,Training,n1(c2c(c(ncn2)O)nc1)[C@H]1O[C@@H](CO)CC1
Fluticasone,15.61,Validation,O[C@]1([C@@]2([C@H]([C@H]3[C@]([C@@]4(C(=CC(=O)C=C4)[C@H](C3)F)C)(F)[C@@H](C2)O)C[C@H]1C)C)C(SCF)=O
Etidocaine,15.86,Training,c1(NC([C@@H]([N@@](CCC)CC)CC)=O)c(cccc1C)C
Trimipramine,15.90,Training,N1(c2c(CCc3c1cccc3)cccc2)C[C@H](CN(C)C)C
